move,board_state,player
4-i,__________________________________________,#
4-i,______________________________________#___,@
5-i,_______________________________@______#___,#
4-i,_______________________________@______##__,@
3-i,________________________@______@______##__,#
4-i,________________________@______@_____###__,@
4-i,_________________@______@______@_____###__,#
6-i,__________#______@______@______@_____###__,@
5-i,__________#______@______@______@_____###@_,#
5-i,__________#______@______@______@#____###@_,@
2-i,__________#______@______@@_____@#____###@_,#
4-i,__________________________________________,#
4-i,______________________________________#___,@
3-i,_______________________________@______#___,#
4-i,_______________________________@_____##___,@
2-i,________________________@______@_____##___,#
4-i,________________________@______@____###___,@
5-i,_________________@______@______@____###___,#
5-i,_________________@______@______@____####__,@
4-i,_________________@______@______@@___####__,#
3-i,__________#______@______@______@@___####__,@
2-i,__________#______@______@_____@@@___####__,#
6-i,__________#______@______@____#@@@___####__,@
2-i,__________#______@______@____#@@@___####@_,#
3-i,__________#______@____#_@____#@@@___####@_,@
5-i,__________#______@____#@@____#@@@___####@_,#
3-i,__________#______@____#@@#___#@@@___####@_,@
4-i,__________________________________________,#
4-i,______________________________________#___,@
3-i,_______________________________@______#___,#
4-i,_______________________________@_____##___,@
5-i,________________________@______@_____##___,#
4-i,________________________@______@_____###__,@
4-i,_________________@______@______@_____###__,#
3-i,__________#______@______@______@_____###__,@
7-i,__________#______@______@_____@@_____###__,#
5-i,__________#______@______@_____@@_____###_#,@
1-i,__________#______@______@_____@@@____###_#,#
2-i,__________#______@______@_____@@@__#_###_#,@
2-i,__________#______@______@_____@@@__#@###_#,#
6-i,__________#______@______@____#@@@__#@###_#,@
2-i,__________#______@______@____#@@@__#@###@#,#
3-i,__________#______@____#_@____#@@@__#@###@#,@
3-i,__________#______@____#@@____#@@@__#@###@#,#
5-i,__________#_____#@____#@@____#@@@__#@###@#,@
2-i,__________#_____#@____#@@@___#@@@__#@###@#,#
2-i,__________#____##@____#@@@___#@@@__#@###@#,@
5-i,________@_#____##@____#@@@___#@@@__#@###@#,#
2-i,________@_#____##@#___#@@@___#@@@__#@###@#,@
3-i,_@______@_#____##@#___#@@@___#@@@__#@###@#,#
7-i,_@______@##____##@#___#@@@___#@@@__#@###@#,@
5-i,_@______@##____##@#___#@@@___#@@@_@#@###@#,#
7-i,_@______@###___##@#___#@@@___#@@@_@#@###@#,@
6-i,_@______@###___##@#___#@@@_@_#@@@_@#@###@#,#
7-i,_@______@###___##@#___#@@@_@_#@@@#@#@###@#,@
6-i,_@______@###___##@#_@_#@@@_@_#@@@#@#@###@#,#
6-p,_@______@###___##@#_@_#@@@#@_#@@@#@#@###@#,@
4-i,__________________________________________,#
4-i,______________________________________#___,@
3-i,_______________________________@______#___,#
4-i,_______________________________@_____##___,@
5-i,________________________@______@_____##___,#
4-i,________________________@______@_____###__,@
4-i,_________________@______@______@_____###__,#
6-i,__________#______@______@______@_____###__,@
3-i,__________#______@______@______@_____###@_,#
5-i,__________#______@______@_____#@_____###@_,@
3-i,__________#______@______@_____#@@____###@_,#
5-i,__________#______@_____#@_____#@@____###@_,@
2-i,__________#______@_____#@@____#@@____###@_,#
5-i,__________#______@_____#@@____#@@___####@_,@
5-i,__________#______@@____#@@____#@@___####@_,#
6-i,__________##_____@@____#@@____#@@___####@_,@
3-i,__________##_____@@____#@@____#@@@__####@_,#
4-i,__________________________________________,#
4-i,______________________________________#___,@
3-i,_______________________________@______#___,#
4-i,_______________________________@_____##___,@
5-i,________________________@______@_____##___,#
4-i,________________________@______@_____###__,@
7-i,_________________@______@______@_____###__,#
6-i,_________________@______@______@_____###_#,@
4-i,_________________@______@______@_____###@#,#
6-i,__________#______@______@______@_____###@#,@
5-i,__________#______@______@______@_@___###@#,#
6-i,__________#______@______@______@#@___###@#,@
5-i,__________#______@______@_@____@#@___###@#,#
5-i,__________#______@______@#@____@#@___###@#,@
2-i,__________#______@@_____@#@____@#@___###@#,#
4-i,__________________________________________,#
4-i,______________________________________#___,@
3-i,_______________________________@______#___,#
4-i,_______________________________@_____##___,@
5-i,________________________@______@_____##___,#
4-i,________________________@______@_____###__,@
4-i,_________________@______@______@_____###__,#
3-i,__________#______@______@______@_____###__,@
7-i,__________#______@______@_____@@_____###__,#
5-i,__________#______@______@_____@@_____###_#,@
1-i,__________#______@______@_____@@@____###_#,#
3-i,__________#______@______@_____@@@__#_###_#,@
7-i,__________#______@_____@@_____@@@__#_###_#,#
3-i,__________#______@_____@@_____@@@_##_###_#,@
7-i,__________#_____@@_____@@_____@@@_##_###_#,#
7-i,__________#_____@@_____@@__#__@@@_##_###_#,@
3-i,__________#_____@@__@__@@__#__@@@_##_###_#,#
5-i,_________##_____@@__@__@@__#__@@@_##_###_#,@
5-i,_________##_____@@__@__@@@_#__@@@_##_###_#,#
2-i,_________##_____@@#_@__@@@_#__@@@_##_###_#,@
1-i,_________##_____@@#_@__@@@_#__@@@_##@###_#,#
6-i,_________##_____@@#_@__@@@_##_@@@_##@###_#,@
4-i,__________________________________________,#
4-i,______________________________________#___,@
3-i,_______________________________@______#___,#
4-i,_______________________________@_____##___,@
1-i,________________________@______@_____##___,#
4-i,________________________@______@___#_##___,@
5-i,_________________@______@______@___#_##___,#
5-i,_________________@______@______@___#_###__,@
7-i,_________________@______@______@@__#_###__,#
2-i,_________________@______@______@@__#_###_#,@
4-i,_________________@______@______@@__#@###_#,#
3-i,__________#______@______@______@@__#@###_#,@
2-i,__________#______@______@_____@@@__#@###_#,#
6-i,__________#______@______@____#@@@__#@###_#,@
2-i,__________#______@______@____#@@@__#@###@#,#
3-i,__________#______@____#_@____#@@@__#@###@#,@
2-i,__________#______@____#@@____#@@@__#@###@#,#
2-i,__________#____#_@____#@@____#@@@__#@###@#,@
3-i,________@_#____#_@____#@@____#@@@__#@###@#,#
5-i,________@_#____##@____#@@____#@@@__#@###@#,@
5-i,________@_#____##@____#@@@___#@@@__#@###@#,#
2-i,________@_#____##@#___#@@@___#@@@__#@###@#,@
3-i,_@______@_#____##@#___#@@@___#@@@__#@###@#,#
1-i,_@______@##____##@#___#@@@___#@@@__#@###@#,@
4-p,_@______@##____##@#___#@@@__@#@@@__#@###@#,#
4-i,__________________________________________,#
4-i,______________________________________#___,@
3-i,_______________________________@______#___,#
4-i,_______________________________@_____##___,@
2-i,________________________@______@_____##___,#
4-i,________________________@______@____###___,@
4-i,_________________@______@______@____###___,#
5-i,__________#______@______@______@____###___,@
3-i,__________#______@______@______@____###@__,#
3-i,__________#______@______@_____#@____###@__,@
1-i,__________#______@_____@@_____#@____###@__,#
2-i,__________#______@_____@@_____#@___####@__,@
1-i,__________#______@_____@@____@#@___####@__,#
1-i,__________#______@_____@@___#@#@___####@__,@
2-i,__________#______@___@_@@___#@#@___####@__,#
3-i,__________#______@___@#@@___#@#@___####@__,@
2-i,__________#_____@@___@#@@___#@#@___####@__,#
5-i,__________#____#@@___@#@@___#@#@___####@__,@
6-i,__________#____#@@___@#@@___#@#@@__####@__,#
5-i,__________#____#@@___@#@@___#@#@@__####@#_,@
5-i,__________#____#@@___@#@@@__#@#@@__####@#_,#
3-i,__________#____#@@#__@#@@@__#@#@@__####@#_,@
7-i,_________@#____#@@#__@#@@@__#@#@@__####@#_,#
1-i,_________@#____#@@#__@#@@@__#@#@@__####@##,@
2-i,_________@#___@#@@#__@#@@@__#@#@@__####@##,#
5-i,________#@#___@#@@#__@#@@@__#@#@@__####@##,@
4-i,__________________________________________,#
4-i,______________________________________#___,@
3-i,_______________________________@______#___,#
4-i,_______________________________@_____##___,@
5-i,________________________@______@_____##___,#
4-i,________________________@______@_____###__,@
4-i,_________________@______@______@_____###__,#
5-i,__________#______@______@______@_____###__,@
7-i,__________#______@______@______@@____###__,#
3-i,__________#______@______@______@@____###_#,@
1-i,__________#______@______@_____@@@____###_#,#
6-i,__________#______@______@_____@@@__#_###_#,@
6-i,__________#______@______@_____@@@__#_###@#,#
5-i,__________#______@______@_____@@@#_#_###@#,@
6-i,__________#______@______@@____@@@#_#_###@#,#
5-i,__________#______@______@@#___@@@#_#_###@#,@
6-i,__________#______@@_____@@#___@@@#_#_###@#,#
6-p,__________#______@@#____@@#___@@@#_#_###@#,@
4-i,__________________________________________,#
4-i,______________________________________#___,@
3-i,_______________________________@______#___,#
4-i,_______________________________@_____##___,@
5-i,________________________@______@_____##___,#
4-i,________________________@______@_____###__,@
4-i,_________________@______@______@_____###__,#
3-i,__________#______@______@______@_____###__,@
7-i,__________#______@______@_____@@_____###__,#
5-i,__________#______@______@_____@@_____###_#,@
1-i,__________#______@______@_____@@@____###_#,#
2-i,__________#______@______@_____@@@__#_###_#,@
2-i,__________#______@______@_____@@@__#@###_#,#
6-i,__________#______@______@____#@@@__#@###_#,@
2-i,__________#______@______@____#@@@__#@###@#,#
3-i,__________#______@____#_@____#@@@__#@###@#,@
2-i,__________#______@____#@@____#@@@__#@###@#,#
3-i,__________#____#_@____#@@____#@@@__#@###@#,@
4-i,__________________________________________,#
4-i,______________________________________#___,@
5-i,_______________________________@______#___,#
4-i,_______________________________@______##__,@
3-i,________________________@______@______##__,#
4-i,________________________@______@_____###__,@
7-i,_________________@______@______@_____###__,#
6-i,_________________@______@______@_____###_#,@
5-i,_________________@______@______@_____###@#,#
6-i,_________________@______@______@#____###@#,@
5-i,_________________@______@______@#@___###@#,#
6-i,_________________@______@#_____@#@___###@#,@
3-i,_________________@______@#@____@#@___###@#,#
5-i,_________________@______@#@___#@#@___###@#,@
2-i,_________________@@_____@#@___#@#@___###@#,#
2-i,_________________@@_____@#@___#@#@__####@#,@
2-i,_________________@@_____@#@__@#@#@__####@#,#
5-i,_________________@@___#_@#@__@#@#@__####@#,@
3-i,___________@_____@@___#_@#@__@#@#@__####@#,#
3-i,___________@_____@@___##@#@__@#@#@__####@#,@
5-p,___________@____@@@___##@#@__@#@#@__####@#,#
6-p,________________@@@___##@@@__@#@#@__####@#,@
3-p,________________@@@___##@@___@#@#@__####@#,#
7-i,_________________@@___#@@@___@#@#@__####@#,@
2-i,_________________@@___#@@@___@#@#@@_####@#,#
2-i,_______________#_@@___#@@@___@#@#@@_####@#,@
1-i,________@______#_@@___#@@@___@#@#@@_####@#,#
2-i,________@______#_@@___#@@@___@#@#@@#####@#,@
1-i,_@______@______#_@@___#@@@___@#@#@@#####@#,#
7-i,_@______@______#_@@___#@@@__#@#@#@@#####@#,@
3-i,_@______@______#_@@___#@@@_@#@#@#@@#####@#,#
7-i,_@______@______##@@___#@@@_@#@#@#@@#####@#,@
1-i,_@______@______##@@_@_#@@@_@#@#@#@@#####@#,#
1-i,_@______@______##@@_@##@@@_@#@#@#@@#####@#,@
7-i,_@______@_____@##@@_@##@@@_@#@#@#@@#####@#,#
5-i,_@______@____#@##@@_@##@@@_@#@#@#@@#####@#,@
4-i,__________________________________________,#
4-i,______________________________________#___,@
3-i,_______________________________@______#___,#
4-i,_______________________________@_____##___,@
5-i,________________________@______@_____##___,#
4-i,________________________@______@_____###__,@
4-i,_________________@______@______@_____###__,#
5-i,__________#______@______@______@_____###__,@
3-i,__________#______@______@______@@____###__,#
6-i,__________#______@______@_____#@@____###__,@
3-i,__________#______@______@_____#@@____###@_,#
5-i,__________#______@_____#@_____#@@____###@_,@
1-i,__________#______@_____#@@____#@@____###@_,#
5-i,__________#______@_____#@@____#@@__#_###@_,@
3-i,__________#______@@____#@@____#@@__#_###@_,#
4-i,__________________________________________,#
4-i,______________________________________#___,@
3-i,_______________________________@______#___,#
4-i,_______________________________@_____##___,@
5-i,________________________@______@_____##___,#
4-i,________________________@______@_____###__,@
7-i,_________________@______@______@_____###__,#
6-i,_________________@______@______@_____###_#,@
4-i,_________________@______@______@_____###@#,#
6-i,__________#______@______@______@_____###@#,@
3-i,__________#______@______@______@_@___###@#,#
6-i,__________#______@______@_____#@_@___###@#,@
6-i,__________#______@______@_@___#@_@___###@#,#
7-i,__________#______@_#____@_@___#@_@___###@#,@
5-i,__________#______@_#____@_@___#@_@@__###@#,#
7-i,__________#______@_#____@_@___#@#@@__###@#,@
5-i,__________#______@_#____@_@@__#@#@@__###@#,#
7-i,__________#______@_#____@#@@__#@#@@__###@#,@
7-i,__________#______@_#@___@#@@__#@#@@__###@#,#
5-i,__________#__#___@_#@___@#@@__#@#@@__###@#,@
2-i,__________#__#___@@#@___@#@@__#@#@@__###@#,#
6-i,__________#__#___@@#@___@#@@__#@#@@_####@#,@
3-i,__________#_@#___@@#@___@#@@__#@#@@_####@#,#
6-i,__________#_@#___@@#@__#@#@@__#@#@@_####@#,@
7-p,_____@____#_@#___@@#@__#@#@@__#@#@@_####@#,#
7-i,_____@____#_@____@@##__#@#@@__#@#@@_####@@,@
2-p,_____@____#_@@___@@##__#@#@@__#@#@@_####@@,#
6-p,_____@____#_@@___@@##__#@#@@__#@#@@__###@@,@
4-i,__________________________________________,#
4-i,______________________________________#___,@
5-i,_______________________________@______#___,#
3-i,_______________________________@______##__,@
7-i,_______________________________@_____@##__,#
3-i,_______________________________@_____@##_#,@
